film_id,usuario,pelicula,puntuacion,resena
unforgiven,thejoelynch,Unforgiven,8.0,"Been a few decades since I watched Eastwood’s 3rd act thesis, a neo-revisionist Western that also serves as a stark meditation on death and putting a bullet in a person.It’s almost a sequel to every old fashioned western where the hero (or villain?) rides off into the sunset.Hackman’s Little Bill’s sinister smile isThe surprising amount split diopter work in the film is dynamic and appreciated when it doesn’t feel gimmicky.Amazing to think there was a time studios released such darkness as a summer movie."
shutter-island,thejoelynch,Shutter Island,7.0,"While I consider AFTER HOURS subversively terrifying, this being Scorsese’s only “horror film” gets more effective every time I watch it.I liked it the first time but considering this is engineered for multiple viewings the little visual hints of subjective madness resonate deeper with every rewatch.One of the few times I thought Robert Richardson’s fuzzy overexposed frames worked to further push the boundaries of Leo’s reality.An intriguing gothic noir from a master who’s clearly seen a few and revels in the tropes."
jaws,thejoelynch,Jaws,5.0,"Annual screening never disappoints.Bill Butler’s wide lens-heavy cinematography (which looks particularly vivid on anLG OLED screen utilizing the “Filmmaker mode” to enhance the experience) leans into filling the frame with so much information in both the foreground (usually reserved for interesting faces) and background, allowing Young Steven to keep the camera evolving in the scene with less need for coverage (likely much to the producer’s ire).Every time I watch one of the best movies ever made I…"
the-taking-of-pelham-one-two-three,thejoelynch,The Taking of Pelham One Two Three,7.0,"From the director of JAWS….THE REVENGE!Joseph Sargent’s taut NYC thriller boasts a killer ensemble led by Robert Shaw and Walter Matthau on opposite sides of a subway train heist/kidnapping.I love movies set in this time of NYC (the scummy 70’s) and everything from the production design to the costumes evokes such wonderful nostalgia…and then you get a really effective movie too.Evil Hector Elizondo is a delight.What I forgot was how FUNNY this film is, the snappy…"
heat-1995,thejoelynch,Heat,5.0,"Umpentheetn screening of HEAT, I feel like I know every angle, every acting beat, every sound design choice and every “slick” edit (co-edited by Tony Buba the Sombrero-wearing biker in DAWN OF THE DEAD!).It still feels ahead of its time while being so painfully 90’s with every passing year.For me, perfect film even in its imperfections.And looks truly stunning in ‘Filmmaker mode” on theLG OLEDscreen which enhances Mann’s love for all the shades of grey in the film, from the LA night landscapes to Vals shark-skin suit during the heist."
haikyu-the-dumpster-battle,lautengcokj,HAIKYU!! The Dumpster Battle,8.0,“i’m so happy” 🥲
dune-part-two,lautengcokj,Dune: Part Two,9.0,a time of quiet between the storms… god i love it when hans zimmer does romantic shit
tokyo-story,lautengcokj,Tokyo Story,9.0,"in love with the scene where the people on the bus go up and down. of course, ozu-styleto marvel at ozu’s extraordinary rhythm and composition on the big screen is a moment i’ll never forget. what a master"
the-holdovers,lautengcokj,The Holdovers,8.0,the most heart shattering “see ya” in the history of motion pictures
perfect-days-2023,lautengcokj,Perfect Days,9.0,the best uniqlo ad ever made
all-of-us-strangers,lautengcokj,All of Us Strangers,7.0,"“i’ll protect you from the hooded claw, keep the vampires from your door.”grief is perhaps the last and final act of love. it’s the price we pay for having loved and been loved so very deeply"
poor-things-2023,lautengcokj,Poor Things,8.0,an odyssey across fantasy europe i never wanted to end. yorgos lanthimos you mad scientist
killers-of-the-flower-moon,lautengcokj,Killers of the Flower Moon,9.0,when jesse plemons showed up and taylor swift’s ready for it? started playing next door. best original score of the year
past-lives,lautengcokj,Past Lives,5.0,2023 belongs to the gretas of cinema
spider-man-across-the-spider-verse,lautengcokj,Spider-Man: Across the Spider-Verse,9.0,every frame a painting. feels like i should’ve paid more for what i just saw. premium stuff right there
guardians-of-the-galaxy-vol-3,lautengcokj,Guardians of the Galaxy Vol. 3,7.0,rocket and floor cuddle buddies foreeeveeeerrrr
taste-of-cherry,lautengcokj,Taste of Cherry,5.0,would make a beautiful double feature withdrive my car. just total despair and long drive montages
all-about-lily-chou-chou,allicinema,All About Lily Chou-Chou,7.0,July 2008
all-about-lily-chou-chou,allicinema,All About Lily Chou-Chou,7.0,Apr. 2007
the-boy-and-the-heron,bbergman11,The Boy and the Heron,9.0,"""The Boy and the Heron"" is a 2023 film directed by Hayao Miyazaki. It is easy to say that quite frankly Miyazaki needs no formal introduction as a filmmaker when it comes to his endearing efforts within animated features. Even though the filmmaker notably declared retirement a decade earlier, ""The Boy and the Heron"" came about through a passion to return. Taking time with the effort, it is also noted that ""The Boy and the Heron"" came forward through eventuality,…"
the-pianist,bbergman11,The Pianist,5.0,"""The Pianist"" is a 2002 film directed by Roman Polanski. The film follows the Holocaust and wartime experience of Władysław Szpilman, who lived within Warsaw, Poland at the time of Nazi Germany occupation. A critical darling of the time, the film won Academy Awards such as Best Adapted Screenplay, Director for Roman Polanski, and Actor for Adrian Brody who plays Szpilman. Ultimately a survivalist feature in that it directly shadows Szpilman, ""The Pianist"" is a slightly different following of the…"
swimming-to-cambodia,bbergman11,Swimming to Cambodia,5.0,"""Swimming to Cambodia"" is a 1987 film directed by Jonathan Demme. Almost like an applicated cousin to Demme's directed film ""Stop Making Sense"" (1984), ""Swimming to Cambodia"" is also a presented performance piece brought forward to cinematic form. This round of things, it is Spalding Gray who is center stage showcasing a one-man monologue based play that holds us captive for the better part of an hour and a half. Tagging his basis off of the heels of his experiences…"
sinners-2025,pointbreakfan,Sinners,5.0,ABSOLUTE SINNEMA!This shit put me on my assThe music in this is sensationalRyan Coogler is without a shadow of a doubt one of our greatest working directors!Update: AsSinnershas marinated in my mind over the last few days I have decided to bump my rating up to a 5/5!
prisoners,courtneyb,Prisoners,8.0,the epitome of don't back down. double down.
nathan-for-you-finding-frances,courtneyb,Nathan for You: Finding Frances,8.0,nathan fielder reminding me that life is worth living with a level of profundity and humanity akin to a terrence malik or hayao miyazaki flick
arrival-2016,nerdzola,Arrival,7.0,duolingo could never
la-la-land,nerdzola,La La Land,7.0,welcome to seb's
the-hateful-eight,nerdzola,The Hateful Eight,7.0,there is one impostor among us
sicario-2015,nerdzola,Sicario,6.0,the night vision scene was insane
mad-max-fury-road,nerdzola,Mad Max: Fury Road,9.0,an epic two-hour long car chase
ex-machina-2015,nerdzola,Ex Machina,7.0,moral of the story: everyone’s a freak
interstellar,nerdzola,Interstellar,9.0,ideal end of earth scenario
gone-girl,nerdzola,Gone Girl,7.0,best romcom of all time
nightcrawler,nerdzola,Nightcrawler,8.0,"if you wanna win the lottery, you have to make the money to buy a ticket"
birdman-or-the-unexpected-virtue-of-ignorance,nerdzola,Birdman or (The Unexpected Virtue of Ignorance),8.0,black swan for men
whiplash-2014,nerdzola,Whiplash,8.0,ya like jazz? 😏
the-wolf-of-wall-street,nerdzola,The Wolf of Wall Street,7.0,leo doing leo things
the-hunger-games-catching-fire,nerdzola,The Hunger Games: Catching Fire,8.0,tick tock it’s a clock
her,nerdzola,Her,7.0,chatgpt could never
dallas-buyers-club,nerdzola,Dallas Buyers Club,8.0,the fact that this is based on a true story is so heartbreaking
prisoners,nerdzola,Prisoners,8.0,this is a ford ad
django-unchained,nerdzola,Django Unchained,9.0,the d is silent
the-perks-of-being-a-wallflower,nerdzola,The Perks of Being a Wallflower,7.0,we accept the love we think we deserve
the-girl-with-the-dragon-tattoo-2011,nerdzola,The Girl with the Dragon Tattoo,8.0,the girl with a dragon ball z tattoo
ratatouille,frostyfoxx,Ratatouille,5.0,"""Ratatouille"" is one of those movies where you really don't need a sequel — the original is just flawless and totally enough. It's a fun, charming comedy that's entertaining for kids and adults alike. What's cool is how it tackles moments that other movies usually do the same way, but here they're either rearranged or shown differently, which makes the movie feel fresh and unique. Plus, this lovely Pixar dish brings a rare kind of calmness that adds variety to the usual. It's the perfect movie to cozy up with on a rainy day and warm your heart and soul."
